 ,Area,X,Y
483,0,1310.0,263.0
484,0,886.6,271.4
485,0,1347.0,264.0
486,0,124.4,277.4
487,0,425.0,267.3
488,0,1066.2,268.2
489,0,432.9,269.9
490,0,1365.9,268.3
491,0,399.7,272.6
492,0,473.1,272.0
493,0,1381.3,274.3
494,0,378.5,276.6
495,0,1224.7,271.3
496,0,1333.6,270.2
497,0,78.0,284.1
498,0,165.7,279.7
499,0,935.5,271.3
500,0,979.6,274.7
501,0,1243.1,269.8
502,0,1259.7,272.1
503,0,992.9,274.9
504,0,317.9,272.8
505,0,1185.5,274.3
506,0,1399.1,279.0
507,0,1079.8,279.5
508,0,907.9,281.9
509,0,1047.5,273.5
510,0,1021.5,275.0
511,0,1026.5,279.1
512,0,1049.2,280.1
513,0,1211.1,280.6
514,0,1173.2,277.8
515,0,36.7,291.2
516,0,438.8,284.7
517,0,311.4,287.9
518,0,1058.1,281.8
519,0,472.2,286.3
520,0,1235.8,281.6
521,0,1323.5,281.5
522,0,1342.4,283.7
523,0,1409.8,287.6
524,0,1417.2,286.2
525,0,351.1,283.7
526,0,1198.5,285.0
527,0,1101.8,289.8
528,0,1379.3,287.9
529,0,422.2,295.5
530,0,354.3,291.8
531,0,1358.0,294.2
532,0,1246.3,293.0
533,0,386.7,297.1
534,0,1005.3,292.6
535,0,1190.2,298.0
536,0,1170.0,295.2
537,0,1282.5,292.5
538,0,1426.6,294.8
539,0,263.4,297.1
540,0,985.9,301.4
541,0,1205.0,303.6
542,0,1380.1,300.6
543,0,858.9,298.7
544,0,1053.2,300.0
545,0,1259.5,300.6
546,0,1124.3,303.5
547,0,1018.0,303.5
548,0,933.3,306.9
549,0,1151.5,303.4
550,0,1395.1,305.8
551,0,1243.3,304.9
552,0,303.1,310.9
553,0,912.2,305.4
554,0,1254.0,305.0
555,0,1279.1,305.8
556,0,1272.8,305.8
557,0,418.4,311.9
558,0,1302.5,307.0
559,0,917.5,307.5
560,0,1064.5,308.0
561,0,399.8,314.7
562,0,1266.2,313.8
563,0,1118.4,313.7
564,0,993.1,312.2
565,0,1086.2,315.3
566,0,1199.7,317.1
567,0,1404.5,315.6
568,0,1411.6,314.7
569,0,168.3,325.7
570,0,1039.7,317.8
571,0,103.1,321.4
572,0,360.0,320.2
573,0,923.2,317.3
